Name,Details,Price
Camarão Leblon (Meio ou Inteiro),"Camarões grelhados servidos sobre arroz de coco preparado com manteiga da terra, leite de coco, coco em flocos, tomate em cubos, mix de pimentões, coentro, salsinha e cebolinha.",181.01
Pescada Cambucu ao molho de camarão,Filé frito ao molho de tomate com camarão. Acompanha arroz branco.,181.5
Camarão Buzios ( Serve 2 pessoas ),"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.",182.0
Camarão imperial (Meio ou Inteiro),"Camarões em crosta de pão de alho servidos sobre espaguete com molho a sua escolha (molho branco, tomate fresco ou parmegiana).",182.01
Camarão Baiano (Meio ou Inteiro),"Camarões em crosta de pão de alho servidos sobre risoto de vatapá preparado com azeite de dendê, leite, pão francês, leite de coco, gengibre, pimenta Tabasco, coentro, salsinha e cebolinha.",182.01
Camarão Mucuripe (2 pessoas),"220g de Camarões com espaguete italiano coberto com delicioso molho de tomate frescoacrescido de tomate seco, nata, azeitona preta e rúcula.",183.0
Camarão Coco Bambu (Meio ou Inteiro),"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g",186.91
Moqueca de Cação com Camarão,Típico da culinária baiana com camarão a base de dendê e leite de coco. Acompanha arroz branco e pirão.,187.0
Camarão mediterrâneo (meio ou inteiro) + Sobremesa,"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.",187.91
1/2 Badejo ao molho de camarão,"Filé frito ao molho de tomate com camarão, acompanha arroz branco",188.1
1/2 Camarão à Paulista (G),Camarão frito ao alho e óleo. Acompanha arroz ao alho e legumes.,188.1
Camarão florentina (meio ou inteiro),"Camarões refogados com alho e cebola, flambados no vinho branco. Servido sobre espaguete ao molho bechamel e espinafre. Gratinado com queijo mussarela e parmesão. tamanho do camarão nesse prato: 18 g",190.01
Camarão Coco Brasil (Meio ou Inteiro) + Sobremesa,"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",192.81
1/2 Strogonoff de Camarão Rosa (M),"Camarão flambado ao conhaque, com creme de leite e champignon. Acompanha batata palha e arroz branco.",194.0
1/2 Camarão Rosa (G) à Grega,"Camarão à milanesa com queijo derretido, batata palha e arroz à grega.",194.7
Camarão internacional (Meio ou Inteiro),"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.",195.01
1/2 Camarão Rosa (G) à Republica,"Camarão recheado com Catupiry ,empanado na farinha Panko. Acompanha arroz à grega e batata palha.",197.35
Moqueca de Camarão,Típico da culinária baiana com camarão a base de dendê e leite de coco. Acompanha pirão e arroz branco.,198.0
Camarão jurerê,"Camarões aromatizados com ervas de provence puxados no azeite, alho e cebola. Flambados com vinho branco e misturados a molho de tomates frescos. Servidos sobre espaguete italiano com molho à base de creme de leite com um toque de limão siciliano. Tamanho do camarão nesse prato: 18g.",201.0
Camarão Coco Brasil (3 Pessoas) + 3 Stellas Pure Gold.,"9 Camarões empanados recheados com Catupiry, coentro servidos sobre cremoso arroz com camarões e molho de moqueca. Servido com batata palha e farofa de pão. + 3 Cervejas Stella Artois Pure Gold",202.9
Cambucu com Farofa de Camarão,"Filé grelhado com farofa de camarão ao dendê e batatas douradas, acompanha arroz branco",203.5
Camarão Coco Brasil (2 Pessoas),"6 Camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarões e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",206.0
Camarão Coco Brasil (2 pessoas),"Camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarões e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",206.0
1/2 Bobó de Camarão rosa (M/G),"Cozido típico da culinária Baiana com camarão M , preparado a base de creme de mandioca ,dendê e leite de coco.",206.6
1/2 Camarão Rosa (G) à Provençal,"Camarão rosa graúdo preparado na manteiga com vinho branco seco ,alho ,alcaparras e champignon. Tipo risoto preparado com camarões Pequeno.",212.2
1/2 Camarão Rosa M ao Catupiry 2,Camarão gratinado com Catupiry e parmesão com batatas fatiadas. Acompanha arroz branco.,212.85
Camarão Coco Bambu (Meio ou Inteiro) + Sobremesa,"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g",215.81
1/2 Moqueca de Camarão Rosa M,Cozido típico da culinária baiana com camarão a base de dendê e leite de coco.Acompanha arroz e pirão.,223.0
Camarão Coco Bambu (3 Pessoas) + 3 Stellas Pure Gold.,"9 Camarões empanados (30g/und) recheados com queijo Catupiry, servidos sobre nosso famoso Camarão Internacional (arroz cremoso com camarões (18g/und), ervilha e presunto envolvido com molho branco e gratinado com queijo mussarela). Acompanha batata palha + 3 Cervejas Stella Artois Pure Gold",223.9
Camarão Primavera (M),Camarão frito com alho dourado. Acompanha arroz ao alho e legumes.,229.9
Camarão Coco Bambu (2 Pessoas),"Marões empanados e recheados com Catupiry, servidos sobre cremoso arroz com camarões, ervilhas e presunto, envolvido com molho branco. Gratinado com queijos muçarela e parmesão. Acompanha batata palha.",230.0
Camarão Coco Bambu (2 pessoas),"Camarões recheados com Catupiry e empanados. Servidos sobre cremoso arroz com camarões, ervilhas e presunto, envolvido com molho branco. Gratinado com queijos muçarela e parmesão. Acompanha batata palha.",230.0
Bobó de camarão,"Prato com consistência cremosa, feito com camarões refogados com tomate, cebola, pimentões, misturados com macaxeira cozida, azeite de dendê, cheiro-verde e leite de coco. Acompanha arroz e purê de abóbora gratinada. Tamanho do camarão nesse prato: 18g.",243.0
Camarão Coco Brasil (Meio ou Inteiro),"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",243.01
Camarão Fernando de Noronha (2 pessoas),"Camarões salteados no azeite e alho, com legumes, palmito, batata recheada, tomates cereja e muçarela de búfala envolvidos em leve molho escalivada e azeite de ervas. Acompanha arroz de brócolis.",250.0
Camarão Coco Bambu (Meio ou Inteiro),"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g",262.01
Camarão aos quatro queijos,"Camarões salteados com cebola, vinho branco e molho cremoso de queijo. Acompanha arroz com passas e batata palha. Tamanho do camarão nesse prato: 18g.",263.0
Camarão rosa (M) à Parmegiana,À milanesa com mussarela ao molho de tomate. Acompanha arroz branco e batata frita,272.8
Camarão canoa quebrada,"Camarões refogados na manteiga da terra, servidos com molho caseiro de tomate fresco, champignon, alcaparras, cheiro verde, nata e coentro. Acompanha arroz branco e purê de batata. Tamanho do camarão nesse prato: 18g.",288.0
Robalo com Farofa de Camarão,"filé grelhado, com farofa de camarão ao dendê e batatas douradas, acompanha arroz à grega - serve 2 pessoas",302.5
Peixe ao molho de camarão,"Filé de pescada amarela grelhado e coberto com molho de camarão, com tomate, cheiro verde e leite de coco. Acompanha arroz branco.",313.0
Badejo ao Molho de Camarão,"Filé frito ao molho de tomate com camarão, acompanha arroz branco",313.5
Camarão à Paulista (G),Camarão frito ao alho e óleo. Acompanha arroz ao alho e legumes.,313.5
Strogonoff de Camarão Rosa (M),"Camarão flambado ao conhaque, com creme de leite e champignon. Acompanha batata palha e arroz branco.",323.4
Camarão Rosa (G) à Grega,"Camarão à milanesa com queijo derretido, batata palha e arroz à grega.",324.5
Camarão Rosa (G) à República,"Camarão recheado com Catupiry ,empanado na farinha Panko. Acompanha arroz à grega e batata palha.",328.9
Bobó de Camarão Rosa (M/G),"Cozido típico da culinária Baiana com camarão M , preparado a base de creme de mandioca ,dendê e leite de coco.",344.3
Camarão Rosa (G) à Provençal,"Camarão rosa graúdo preparado na manteiga com vinho branco seco ,alho ,alcaparras e champignon. Tipo risoto preparado com camarões Pequeno.",352.0
Camarão Rosa ao Catupiry (M),Camarão gratinado com Catupiry e parmesão. Acompanha arroz branco e batata fatiada.,354.75
Camarão Rosa na Moranga (M/G),Suflê de moranga com Catupiry e arroz branco. Servido na Moranga com camarões M e quatro camarões G na decoração.,371.8
Moqueca de Camarão Rosa (M),Cozido típico da culinária baiana com camarão médio á base de dendê e leite de coco. Acompanha arroz e pirão.,371.8
Moqueca de Robalo com Camarão Rosa (M),Típico da culinária baiana com robalo e camarão a base de dendê e leite de coco. Acompanha arroz branco e pirão,473.0
