Name,Details,Price,Source
Penne ao Molho de Camarão 2 Pessoas,Ao molho de tomate com camarão.,133.1,República dos Camarões
Camarão ao Thermidor 2 Pessoas,Ao molho bechamel gratinado com parmesão. Acompanha arroz branco e batata palha.,133.1,República dos Camarões
Camarão Empanado 2 Pessoas,"Camarão sem cabeça, com casca empanado. Acompanha arroz à grega.",133.1,República dos Camarões
Espaguete ao Molho de Camarão 2 Pessoas,Ao molho de tomate com camarão.,133.1,República dos Camarões
Camarão ao Molho Misto 2 Pessoas,"Camarão ao molho branco e de tomate, gratinado Catupiry e parmesão, acompanha arroz branco.",135.3,República dos Camarões
Bobó de Camarão 2 Pessoas,"Típico da culinária baiana a base de creme de mandioca, dendê e leite de coco. Acompanha arroz branco.",138.6,República dos Camarões
Camarão a milanesa 2 Pessoas,"Camarão sem casca, com arroz á grega e batata palha.",138.6,República dos Camarões
Camarão ao creme de Moranga 2 Pessoas,Suflê de moranga com Catupiry. Acompanha arroz branco,138.6,República dos Camarões
Camarão a parmegiana 2 Pessoas,À milanesa com mussarela derretida ao molho de tomate. Acompanha arroz e fritas.,138.6,República dos Camarões
Risoto de Camarão a Moda 2 Pessoas,"Preparado com arroz branco tipo 1 ao molho de tomate com azeitona verde, ervilha e palmito.",138.6,República dos Camarões
Camarão internacional (Meio ou Inteiro),"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.",140.91,Coco Bambu
Camarão à milanesa + Sobremesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,141.9,Coco Bambu
Camarão Recheado,"16 Camarões eviscerados, recheado com Catupiry e empanado na farinha panko . Acompanha batata chips , e arroz ao alho.",145.0,República dos Camarões
Cação a Baiana com camarão serve 2 pessoas,"Típico da culinária baiana, postas de cação com camarão a base de dendê e leite coco. Acompanha arroz e pirão.",145.2,República dos Camarões
Strogonoff de Camarão 2 Pessoas,"Camarão flambado ao conhaque com creme de leite, mostarda, catchup e champignon. Acompanha arroz e batata palha.",147.4,República dos Camarões
Camarão Buzios ( Serve 2 pessoas ) + Sobremesa,"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.",157.8,Coco Bambu
Sequência de Camarão,"Combinação de camarões natural, alho e óleo, milanesa e ceviche de camarão. Acompanha molho tártaro.",158.0,Coco Bambu
Camarão florentina (meio ou inteiro),"Camarões refogados com alho e cebola, flambados no vinho branco. Servido sobre espaguete ao molho bechamel e espinafre. Gratinado com queijo mussarela e parmesão. tamanho do camarão nesse prato: 18 g",159.01,Coco Bambu
Camarão mediterrâneo (meio ou inteiro),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.",159.01,Coco Bambu
Camarão iracema (meio ou inteiro),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.",159.01,Coco Bambu
1/2 Camarão Rosa M à Parmegiana,À milanesa com mussarela ao molho de tomate. Acompanha arroz branco e batata frita,163.7,República dos Camarões
Camarão Coco Brasil (Meio ou Inteiro),"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",163.91,Coco Bambu
Camarão Internacional (2 Pessoas) + 2 Stellas Pure Gold.,"Camarões (18 g/unid) servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. + 2 Cervejas Stella Artois Pure Gold",166.9,Coco Bambu
Camarão Siciliano (2 Pessoas),"6 camarões recheados com queijo Catupiry e empandos, servidos sobre risoto de limão siciliano, decorado com salsinha. Acompanha batata palha.",168.0,Coco Bambu
Camarão internacional (Meio ou Inteiro) + Sobremesa,"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.",169.81,Coco Bambu
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.",173.0,Coco Bambu
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.",173.0,Coco Bambu
Tilápia Grelhada com Farofa de Camarão,Acompanha arroz à grega e batatas douradas.,176.0,República dos Camarões
Camarão mediterrâneo (meio ou inteiro),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.",176.01,Coco Bambu
Camarão Iracema (Meio ou Inteiro),"Arroz de leite com queijo coalho, coberto com camarões refogados com coentro, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e acompanha macaxeira frita. Tamanho do camarão nesse prato: 18g.",179.01,Coco Bambu
Camarão iracema (meio ou inteiro),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.",179.01,Coco Bambu
Camarão ilha bela (Meio ou Inteiro),"Nossa deliciosa versão de arroz frito. Leva camarões, cebolinha, ervilha, cenoura, ovos, shoyo e óleo de gergelim torrado. Serve de 3 a 4 pessoas. tamanho do camarão nesse prato: 18g.",180.01,Coco Bambu
Camarão Ipanema (2 pessoas),"Camarões salteados no azeite com alho, cebola, pimentão, coentro e tomate. Servidos sobre arroz regado com um toque de leite de coco e batata palha.",181.0,Coco Bambu
Camarão Ipanema (Meio ou Inteiro),"Camarões salteados no azeite com alho, cebola, pimentão, coentro e tomate. Servidos sobre arroz regado com um toque de leite de coco e batata palha.",181.01,Coco Bambu
Camarão Leblon (Meio ou Inteiro),"Camarões grelhados servidos sobre arroz de coco preparado com manteiga da terra, leite de coco, coco em flocos, tomate em cubos, mix de pimentões, coentro, salsinha e cebolinha.",181.01,Coco Bambu
Pescada Cambucu ao molho de camarão,Filé frito ao molho de tomate com camarão. Acompanha arroz branco.,181.5,República dos Camarões
Camarão Buzios ( Serve 2 pessoas ),"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.",182.0,Coco Bambu
Camarão imperial (Meio ou Inteiro),"Camarões em crosta de pão de alho servidos sobre espaguete com molho a sua escolha (molho branco, tomate fresco ou parmegiana).",182.01,Coco Bambu
Camarão Baiano (Meio ou Inteiro),"Camarões em crosta de pão de alho servidos sobre risoto de vatapá preparado com azeite de dendê, leite, pão francês, leite de coco, gengibre, pimenta Tabasco, coentro, salsinha e cebolinha.",182.01,Coco Bambu
Camarão Mucuripe (2 pessoas),"220g de Camarões com espaguete italiano coberto com delicioso molho de tomate frescoacrescido de tomate seco, nata, azeitona preta e rúcula.",183.0,Coco Bambu
Camarão Coco Bambu (Meio ou Inteiro),"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g",186.91,Coco Bambu
Moqueca de Cação com Camarão,Típico da culinária baiana com camarão a base de dendê e leite de coco. Acompanha arroz branco e pirão.,187.0,República dos Camarões
Camarão mediterrâneo (meio ou inteiro) + Sobremesa,"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.",187.91,Coco Bambu
1/2 Badejo ao molho de camarão,"Filé frito ao molho de tomate com camarão, acompanha arroz branco",188.1,República dos Camarões
1/2 Camarão à Paulista (G),Camarão frito ao alho e óleo. Acompanha arroz ao alho e legumes.,188.1,República dos Camarões
Camarão florentina (meio ou inteiro),"Camarões refogados com alho e cebola, flambados no vinho branco. Servido sobre espaguete ao molho bechamel e espinafre. Gratinado com queijo mussarela e parmesão. tamanho do camarão nesse prato: 18 g",190.01,Coco Bambu
Camarão Coco Brasil (Meio ou Inteiro) + Sobremesa,"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",192.81,Coco Bambu
1/2 Strogonoff de Camarão Rosa (M),"Camarão flambado ao conhaque, com creme de leite e champignon. Acompanha batata palha e arroz branco.",194.0,República dos Camarões
1/2 Camarão Rosa (G) à Grega,"Camarão à milanesa com queijo derretido, batata palha e arroz à grega.",194.7,República dos Camarões
Camarão internacional (Meio ou Inteiro),"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.",195.01,Coco Bambu
1/2 Camarão Rosa (G) à Republica,"Camarão recheado com Catupiry ,empanado na farinha Panko. Acompanha arroz à grega e batata palha.",197.35,República dos Camarões
Moqueca de Camarão,Típico da culinária baiana com camarão a base de dendê e leite de coco. Acompanha pirão e arroz branco.,198.0,República dos Camarões
Camarão jurerê,"Camarões aromatizados com ervas de provence puxados no azeite, alho e cebola. Flambados com vinho branco e misturados a molho de tomates frescos. Servidos sobre espaguete italiano com molho à base de creme de leite com um toque de limão siciliano. Tamanho do camarão nesse prato: 18g.",201.0,Coco Bambu
Camarão Coco Brasil (3 Pessoas) + 3 Stellas Pure Gold.,"9 Camarões empanados recheados com Catupiry, coentro servidos sobre cremoso arroz com camarões e molho de moqueca. Servido com batata palha e farofa de pão. + 3 Cervejas Stella Artois Pure Gold",202.9,Coco Bambu
Cambucu com Farofa de Camarão,"Filé grelhado com farofa de camarão ao dendê e batatas douradas, acompanha arroz branco",203.5,República dos Camarões
Camarão Coco Brasil (2 pessoas),"Camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarões e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",206.0,Coco Bambu
1/2 Bobó de Camarão rosa (M/G),"Cozido típico da culinária Baiana com camarão M , preparado a base de creme de mandioca ,dendê e leite de coco.",206.6,República dos Camarões
1/2 Camarão Rosa (G) à Provençal,"Camarão rosa graúdo preparado na manteiga com vinho branco seco ,alho ,alcaparras e champignon. Tipo risoto preparado com camarões Pequeno.",212.2,República dos Camarões
1/2 Camarão Rosa M ao Catupiry 2,Camarão gratinado com Catupiry e parmesão com batatas fatiadas. Acompanha arroz branco.,212.85,República dos Camarões
Camarão Coco Bambu (Meio ou Inteiro) + Sobremesa,"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g",215.81,Coco Bambu
1/2 Moqueca de Camarão Rosa M,Cozido típico da culinária baiana com camarão a base de dendê e leite de coco.Acompanha arroz e pirão.,223.0,República dos Camarões
Camarão Coco Bambu (3 Pessoas) + 3 Stellas Pure Gold.,"9 Camarões empanados (30g/und) recheados com queijo Catupiry, servidos sobre nosso famoso Camarão Internacional (arroz cremoso com camarões (18g/und), ervilha e presunto envolvido com molho branco e gratinado com queijo mussarela). Acompanha batata palha + 3 Cervejas Stella Artois Pure Gold",223.9,Coco Bambu
Camarão Primavera (M),Camarão frito com alho dourado. Acompanha arroz ao alho e legumes.,229.9,República dos Camarões
Camarão Coco Bambu (2 pessoas),"Camarões recheados com Catupiry e empanados. Servidos sobre cremoso arroz com camarões, ervilhas e presunto, envolvido com molho branco. Gratinado com queijos muçarela e parmesão. Acompanha batata palha.",230.0,Coco Bambu
Bobó de camarão,"Prato com consistência cremosa, feito com camarões refogados com tomate, cebola, pimentões, misturados com macaxeira cozida, azeite de dendê, cheiro-verde e leite de coco. Acompanha arroz e purê de abóbora gratinada. Tamanho do camarão nesse prato: 18g.",243.0,Coco Bambu
Camarão Coco Brasil (Meio ou Inteiro),"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",243.01,Coco Bambu
Camarão Fernando de Noronha (2 pessoas),"Camarões salteados no azeite e alho, com legumes, palmito, batata recheada, tomates cereja e muçarela de búfala envolvidos em leve molho escalivada e azeite de ervas. Acompanha arroz de brócolis.",250.0,Coco Bambu
Camarão Coco Bambu (Meio ou Inteiro),"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g",262.01,Coco Bambu
Camarão aos quatro queijos,"Camarões salteados com cebola, vinho branco e molho cremoso de queijo. Acompanha arroz com passas e batata palha. Tamanho do camarão nesse prato: 18g.",263.0,Coco Bambu
Camarão rosa (M) à Parmegiana,À milanesa com mussarela ao molho de tomate. Acompanha arroz branco e batata frita,272.8,República dos Camarões
Camarão canoa quebrada,"Camarões refogados na manteiga da terra, servidos com molho caseiro de tomate fresco, champignon, alcaparras, cheiro verde, nata e coentro. Acompanha arroz branco e purê de batata. Tamanho do camarão nesse prato: 18g.",288.0,Coco Bambu
Robalo com Farofa de Camarão,"filé grelhado, com farofa de camarão ao dendê e batatas douradas, acompanha arroz à grega - serve 2 pessoas",302.5,República dos Camarões
Peixe ao molho de camarão,"Filé de pescada amarela grelhado e coberto com molho de camarão, com tomate, cheiro verde e leite de coco. Acompanha arroz branco.",313.0,Coco Bambu
Badejo ao Molho de Camarão,"Filé frito ao molho de tomate com camarão, acompanha arroz branco",313.5,República dos Camarões
Camarão à Paulista (G),Camarão frito ao alho e óleo. Acompanha arroz ao alho e legumes.,313.5,República dos Camarões
Strogonoff de Camarão Rosa (M),"Camarão flambado ao conhaque, com creme de leite e champignon. Acompanha batata palha e arroz branco.",323.4,República dos Camarões
Camarão Rosa (G) à Grega,"Camarão à milanesa com queijo derretido, batata palha e arroz à grega.",324.5,República dos Camarões
Camarão Rosa (G) à República,"Camarão recheado com Catupiry ,empanado na farinha Panko. Acompanha arroz à grega e batata palha.",328.9,República dos Camarões
Bobó de Camarão Rosa (M/G),"Cozido típico da culinária Baiana com camarão M , preparado a base de creme de mandioca ,dendê e leite de coco.",344.3,República dos Camarões
Camarão Rosa (G) à Provençal,"Camarão rosa graúdo preparado na manteiga com vinho branco seco ,alho ,alcaparras e champignon. Tipo risoto preparado com camarões Pequeno.",352.0,República dos Camarões
Camarão Rosa ao Catupiry (M),Camarão gratinado com Catupiry e parmesão. Acompanha arroz branco e batata fatiada.,354.75,República dos Camarões
Camarão Rosa na Moranga (M/G),Suflê de moranga com Catupiry e arroz branco. Servido na Moranga com camarões M e quatro camarões G na decoração.,371.8,República dos Camarões
Moqueca de Camarão Rosa (M),Cozido típico da culinária baiana com camarão médio á base de dendê e leite de coco. Acompanha arroz e pirão.,371.8,República dos Camarões
Moqueca de Robalo com Camarão Rosa (M),Típico da culinária baiana com robalo e camarão a base de dendê e leite de coco. Acompanha arroz branco e pirão,473.0,República dos Camarões
