Name,Details,Price
Meia Carne de sol do sertão,"Arroz de leite coberto com carne de sol desfiada e refogada na manteiga da terra com cebola roxa, nata e coentro. Gratinada com queijo coalho. Acompanha macaxeira frita.","R$ 89,90R$ 159,00"
Meio Filé Paulista (2 pessoas),"Filé mignon coberto com alhos dourados. Acompanha deliciosa mistura de arroz branco, batata palha, ovos, bacon, cebola picada, salsinha, cheiro verde e farofa.","R$ 109,90R$ 147,00"
Meio Frango à parmegiana,Filé de frango à milanesa envoltos em molho caseiro de tomate fresco e gratinado com queijos mussarela e parmesão. Servido com espaguete no próprio molho.,"R$ 79,90R$ 135,00"
Camarão Buzios ( Serve 2 pessoas ),"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.","R$ 128,90R$ 182,00"
Camarão Brasileirinho (1 a 2 Pessoas),Camarões empanados em farinha panko sobre delicioso arroz cremoso de moqueca. Acompanha batata palha.,"R$ 94,90"
Camarão Brasileirinho (2 Pessoas),Camarões empanados em farinha panko sobre delicioso arroz cremoso de moqueca. Acompanha batata palha.,"R$ 94,90R$ 125,00"
Camarão Coco Brasil (Meio ou Inteiro),"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.","A partir de R$ 163,91"
Camarão Coco Bambu (Meio ou Inteiro),"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g","A partir de R$ 186,91"
Camarão florentina (meio ou inteiro),"Camarões refogados com alho e cebola, flambados no vinho branco. Servido sobre espaguete ao molho bechamel e espinafre. Gratinado com queijo mussarela e parmesão. tamanho do camarão nesse prato: 18 g","A partir de R$ 159,01"
Camarão internacional (Meio ou Inteiro),"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.","A partir de R$ 140,91"
Camarão mediterrâneo (meio ou inteiro),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.","A partir de R$ 159,01"
Carne de sol do sertão ( Meia ou Inteira),"Arroz de leite coberto com carne de sol desfiada e refogada na manteiga da terra com cebola roxa, nata e coentro. Gratinada com queijo coalho. Acompanha macaxeira frita.","A partir de R$ 117,91"
Filé à parmegiana (Meio ou inteiro),"Filé mignon à milanesa, gratinados com queijo mussarela e molho de tomate. Servido com espaguete no próprio molho.","A partir de R$ 140,91"
Meio Filé Paulista (2 pessoas),"250g de filé mignon cobertos com alhos fritos. Acompanha batatas recheadas e delicioso arroz ""biro-biro"" com batata palha, ovos, bacon, cebola picada, salsinha, cheiro verde e farofa.","R$ 117,90R$ 147,00"
Filé à paulista (4 pessoas),"500g de filé mignon coberto com alhos dourados. Acompanha deliciosa mistura de arroz branco, batata palha, ovos, bacon, cebola picada, salsinha, cheiro verde e farofa.","R$ 267,00"
Fettuccine Alfredo com Filé ao Funghi (Meio ou Inteiro),200-400g de medalhões de Filé Mignon com molho funghi acompanhado de fettuccine com molho Alfredo preparado com creme de leite fresco.,"A partir de R$ 190,01"
Praia de Boa Viagem ( Serve 2 pessoas ),"Camarão refogado com alho , cebola. Servido sobre espaguete ao molho bechamel e espinafre. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g","R$ 128,90R$ 190,00"
Praia de Itamaracá (Serve 2 pessoas),"Arroz à grega (ervilhas, pimentões, passas, cenoura e presunto) coberto com de camarões à milanesa, molho caseiro de tomate fresco. Gratinado com queijo mussarela. Acompanha batata palha. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g.","R$ 128,90R$ 190,00"
Praia de Olinda ( Serve 2 pessoas ),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo muçarela. Acompanha batata palha. tamanho do camarão nesse prato: 13g","R$ 128,90R$ 176,00"
Praia de Tamandaré ( Serve 2 pessoas ),"Espaguete italiano coberto com delicioso molho de tomate fresco acrescido de tomate seco, azeitona, rúcula e camarões. tamanho do camarão nesse prato: 13g.","R$ 128,90R$ 183,00"
Camarão iracema (meio ou inteiro),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.","A partir de R$ 159,01"
Peixe à delícia,Tradicional nas famílias cearenses. Perfeita combinação de filé de peixe com bananas fritas e molho à base de creme de leite. Acompanha arroz branco e batatas gratinadas,"R$ 247,00"
Camarão à milanesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,"R$ 86,00R$ 113,00"
Entradinha Camarão A Milanesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,"R$ 74,00"
Cocada ao forno,Elaborada com coco ralado fresco e leite condensado. Dourada ao forno.,"R$ 28,90R$ 40,00"
Camarão internacional (Meio ou Inteiro) + Sobremesa,"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.","A partir de R$ 169,81"
Camarão mediterrâneo (meio ou inteiro) + Sobremesa,"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.","A partir de R$ 187,91"
Camarão Coco Brasil (Meio ou Inteiro) + Sobremesa,"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.","A partir de R$ 192,81"
Camarão Coco Bambu (Meio ou Inteiro) + Sobremesa,"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g","A partir de R$ 215,81"
Camarão Buzios ( Serve 2 pessoas ) + Sobremesa,"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.","A partir de R$ 157,80"
Praia de Olinda ( Serve 2 pessoas ) + Sobremesa,"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo muçarela. Acompanha batata palha. tamanho do camarão nesse prato: 13g","A partir de R$ 157,80"
Praia de Boa Viagem ( Serve 2 pessoas ) + Sobremesa,"Camarão refogado com alho , cebola. Servido sobre espaguete ao molho bechamel e espinafre. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g","A partir de R$ 157,80"
Filé à parmegiana (Meio ou inteiro) + Sobremesa,"Filé mignon à milanesa, gratinados com queijo mussarela e molho de tomate. Servido com espaguete no próprio molho.","A partir de R$ 169,81"
Carne de sol do sertão ( Meia ou Inteira) + Sobremesa,"Arroz de leite coberto com carne de sol desfiada e refogada na manteiga da terra com cebola roxa, nata e coentro. Gratinada com queijo coalho. Acompanha macaxeira frita.","A partir de R$ 146,81"
Frango à parmegiana ( Meio ou inteiro) + Sobremesa,Filé de frango à milanesa envoltos em molho caseiro de tomate fresco e gratinado com queijos mussarela e parmesão. Servido com espaguete no próprio molho.,"A partir de R$ 134,81"
Camarão à milanesa + Sobremesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,"A partir de R$ 141,90"
Camarão jangadeiro + Sobremesa,"04 camarões empanados, recheados com queijo Catupiry. Tamanho do camarão nesse prato: 30g","A partir de R$ 110,90"
Entradinha Camarão A Milanesa + Sobremesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,"A partir de R$ 102,90"
Camarão Iracema,"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.","R$ 186,90R$ 240,00"
Meio Camarões à grega (2 pessoas),"Arroz à grega (ervilhas, pimentões, passas, cenoura e presunto) coberto com camarões à milanesa, molho caseiro de tomate fresco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g","R$ 159,00R$ 191,00"
Camarões Grelhados,"Camarões preparados com alho e salsinha no azeite de ervas. Acompanha arroz de brócolis e cenoura, batata, brócolis, champignon, ervilha, abobrinha.","R$ 256,00"
Camarão jurerê,"Camarões aromatizados com ervas de provence puxados no azeite, alho e cebola. Flambados com vinho branco e misturados a molho de tomates frescos. Servidos sobre espaguete italiano com molho à base de creme de leite com um toque de limão siciliano. Tamanho do camarão nesse prato: 18g.","R$ 140,90R$ 201,00"
Espaguete Coco Bambu (2 pessoas),"220g de camarões com espaguete italiano, ervilhas, presunto e molho branco. Gratinado com farta camada de queijos muçarela e parmesão.","R$ 140,90R$ 204,00"
Camarão Ipanema (2 pessoas),"Camarões salteados no azeite com alho, cebola, pimentão, coentro e tomate. Servidos sobre arroz regado com um toque de leite de coco e batata palha.","R$ 181,00"
Peixe à meunière (Pescada Amarela),"Filé de peixe grelhado com azeite, manteiga, alho, cenoura picada, alecrim fresco e limão. Acompanha legumes salteados e arroz com brócolis.","R$ 181,90R$ 253,00"
Tilápia pescador,"Filé de tilápia grelhado com cebolas, alcaparras e salsinha. Acompanha arroz de alho e batata soutê.","R$ 126,00R$ 164,00"
Tilápia a delícia (2 pessoas),"Tilápia com bananas fritas e molho branco, gratinado com queijos muçarela e parmesão. Acompanha arroz branco e batatas gratinadas.","R$ 157,00"
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.","R$ 173,00"
Tilápia Coco Brasil,"Filet de Tilápia com crosta de pão de alho, pesto de rúcula e cebola caramelada picada. Acompanha purê de mandioquinha e arroz branco.","R$ 198,00"
Meia Paella Caldosa Coco Bambu Sem Lagosta (2 pessoas),"Arroz caldoso com camarão, lula, polvo, peixe e mexilhão, refogado com pimentões, ervilha, especiarias e um leve toque de açafrão. Servidos na paellera. Rico em sabor e apresentação. tamanho do camarão nesse prato: 30g.","R$ 253,00"
Bacalhau à Gomes de Sá (2 pessoas),"Lombo de bacalhau em lascas assado com cebola, mix de pimentões, batatas, ovos, cebolinha, e azeitonas azapa. Acompanha arroz de brócolis e farofa de ovos.","R$ 253,00"
Camarão Siciliano (2 Pessoas),"6 camarões recheados com queijo Catupiry e empandos, servidos sobre risoto de limão siciliano, decorado com salsinha. Acompanha batata palha.","R$ 117,90R$ 168,00"
Camarão Coco Bambu (2 pessoas),"Camarões recheados com Catupiry e empanados. Servidos sobre cremoso arroz com camarões, ervilhas e presunto, envolvido com molho branco. Gratinado com queijos muçarela e parmesão. Acompanha batata palha.","R$ 140,90R$ 230,00"
Camarão Coco Brasil (2 pessoas),"Camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarões e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.","R$ 117,90R$ 206,00"
Dadinho de tapioca,,"R$ 65,00"
Filé de camarão no alho,Tamanho do camarão nesse prato: 18g.,"R$ 103,00"
Iscas de peixe,260g de Iscas de peixe à milanesa salpicadas com grãos de gergelim e molho tártaro. Decorado com salsinha.,"R$ 118,00"
Polvo no azeite,Polvo ao azeite de tomates secos (200gr) Acompanha pãezinhos,"R$ 135,00"
Entradinha de Filé aos Quatro Queijos,100g de Cubos de filé com molho de queijos. Acompanha torradas temperadas.,"R$ 65,00"
Entradinha Isca de Peixe,130g de Iscas de peixe à milanesa com gergelim e molho tártaro.,"R$ 75,00"
Entradinha Camarão na Manteiga Acebolado,Filé de camarão salteado na cebola. Acompanha macaxeira ao leite.,"R$ 68,00"
Entradinha Camarão no Azeite de Tomate Seco,"Camarões refogados no azeite com cebola alho, pasta de tomate seco, parmesão e castanha de caju. Acompanha 3 pãezinhos.","R$ 118,00"
Sequência de Camarão,"Combinação de camarões natural, alho e óleo, milanesa e ceviche de camarão. Acompanha molho tártaro.","R$ 158,00"
Lascas de Bacalhau no Azeite,"Bacalhau em lascas com azeite, alho, alecrim, tomilho e tomate cereja. Acompanha pão italiano.","R$ 113,00"
Entradinha Filé ao Molho Madeira,100g de Cubos de filé mignon com molho madeira e champignon. Acompanha cesta de torradas temperadas.,"R$ 49,00"
Espetinho de Camarão em Crosta,Espetinho de Camarão em Crosta.,"R$ 94,00"
Batata Palha Extra,Batata Palha Extra,"R$ 10,00"
Macaxeira Frita,Macaxeira Frita,"R$ 25,00"
Legumes Grelhados,"Legumes: abobrinha, abóbora japonesa, batata, brócolis cebola Branca, cenoura, cebola roxa.","R$ 25,00"
Purê de Macaxeira,Purê de Macaxeira,"R$ 26,00"
Purê de Batata,Purê de Batata,"R$ 26,00"
Arroz Branco,Arroz Branco,"R$ 18,00"
Arroz Brócolis,Arroz Brócolis,"R$ 20,00"
Filé com Ervas (Meio ou Inteiro),"Medalhões de filé mignon grelhados e cobertos com nata, temperados com mostarda e ervas. Acompanha arroz à piemontese e batatas recheadas.","A partir de R$ 118,01"
Filé ao Molho de Mostarda (Meio ou Inteiro),"Medalhões de filé mignon com bacon, grelhados, flambados com conhaque e molho de mostarda. Acompanha arroz branco e batata ao murro.","A partir de R$ 119,01"
Filé aos Quatro Queijos,04 medalhões de filé grelhados e flambados com conhaque e molho cremoso de queijos acompanha arroz à grega e batata recheada.,"R$ 283,00"
Filé ao Molho Madeira (Meio ou Inteiro),"Medalhões de filé envolvidos com bacon, grelhados, flambados com conhaque, molho madeira tradicional e champignon. Acompanha arroz branco e batata recheada.","A partir de R$ 126,01"
Filé Paris,500g de filé mignon coberto com manteiga preparada na casa com mostarda e ervas. Acompanha batatas fritas e arroz à piemontese gratinado.,"R$ 280,00"
Carne de Sol Coco Bambu (4 pessoas),"450g de carne de sol de filé mignon sobre uma cama de macaxeira cozida com manteiga da terra e coberta com queijo coalho grelhado. Acompanha melaço de cana, porção de baião de dois, vinagrete e farofa.","R$ 304,00"
Picadinho de Filé Coco Bambu (2 pessoas),"Filé mignon picado, refogado com cebola e alho, flambado e acrescido de vinho tinto e molhoroti especial da casa. Coberto com ovos pochê. Acompanha farofa de banana e arroz branco.","R$ 188,00"
Carne de Sol do Maranhão (Meio ou Inteiro),"450g / 900g da Deliciosa peça inteira de carne de sol de filé mignon. Acompanha baião de dois, farofa de ovos,banana à milanesa,cebola roxa refogada,purê de macaxeira gratinado com queijo coalho e vinagrete.","A partir de R$ 379,01"
Bacalhau à espanhola,"Lombo de bacalhau coberto com cebolas, alho, tomate, salsinha, pimentões, azeitonas pretas e vinho branco, servido sobre uma camada de batatas laminadas gratinadas. Acompanha arroz branco.","R$ 265,00"
Caldeirada de polvo,"Deliciosa caldeirada de polvo, cebola, alho, pimentão, molho de tomate fresco e molho reduzido do próprio polvo, envolvida com arroz e batatas noisettes no próprio caldo.","R$ 258,00"
Bacalhau à Lagareiro (2 pessoas),"Lombo de bacalhau assado no forno com azeite, alho confitado, cebola, ovos, tomate, azeitona azapa, batata, abóbora e brócolis. Acompanha arroz com brócolis.","R$ 309,00"
Polvo a provençal,Tentáculos de Polvo refogado ao molho provençal com tomate seco. Acompanha arroz de brócolis e batata ao forno.,"R$ 336,00"
Bacalhau com natas,Lombo de bacalhau em lascas sobre fatias de batata inglesa envolvido em nata. Gratinado com parmesão e muçarela. Acompanha arroz de brócolis e farofa de ovos.,"R$ 286,00"
Paella Caldosa Coco Bambu Com Lagosta (meio ou inteiro),"Arroz caldoso com camarão, lula, polvo, peixe, lagosta, e mexilhão, refogado com pimentões, ervilha, especiarias e um leve toque de açafrão. Servidos na paellera. Rico em sabor e apresentação. tamanho do camarão nesse prato: 30g.","A partir de R$ 351,01"
Paella Caldosa Coco Bambu Sem Lagosta (meio ou inteiro),"Arroz caldoso com camarão, lula, polvo, peixe e mexilhão, refogado com pimentões, ervilha, especiarias e um leve toque de açafrão. Servidos na paellera. Rico em sabor e apresentação. tamanho do camarão nesse prato: 30g.","A partir de R$ 253,01"
Rede de Pescador com Polvo (4 pessoas),"Indescritível prazer do mar nordestino. Polvo, camarão, mexilhões, peixe e lula grelhados com molho provençal. Acompanha arroz de açafrão com parmesão.","R$ 497,00"
"Peixe à belle meunière (Pescada Amarela, Sirigado ou Pirarucu)","Filé de peixe grelhado com alcaparras e manteiga servido com 12 camarões, champignon e salsinha. Acompanha legumes e arroz com brócolis.","A partir de R$ 285,01"
Rede de Pescador com Polvo (2 pessoas),"Indescritível prazer do mar nordestino. Polvo, camarão, mexilhões, peixe e lula grelhados com molho provençal. Acompanha arroz de açafrão com parmesão.","R$ 314,00"
Meia Rede de pescador,"Indescritível prazer do mar nordestino. Lagosta, camarão, mexilhões, peixe e lula grelhados com molho provençal. Acompanha arroz de açafrão. Tamanho do camarão nesse prato: 30g.","R$ 314,00"
Peixe à meunière (Pescada Amarela),"Filé de peixe grelhado com azeite, manteiga, alho, cenoura picada, alecrim fresco e limão. Acompanha legumes salteados e arroz com brócolis.","R$ 253,00"
Rede de pescador,"Indescritível prazer do mar nordestino. Lagosta, camarão, mexilhões, peixe e lula grelhados com molho provençal. Acompanha arroz de açafrão. Tamanho do camarão nesse prato: 30g.","R$ 497,00"
Lagosta Coco Bambu,"Duas lagostas inteiras grelhadas. Acompanha risoto de limão siciliano, batata ao forno e manteiga de ervas especiais.","R$ 435,00"
Lagosta grelhada,"400g de lagosta grelhada, alcaparras e salsinha. Acompanha arroz de alho poró.","R$ 333,00"
Peixe ao molho de camarão,"Filé de pescada amarela grelhado e coberto com molho de camarão, com tomate, cheiro verde e leite de coco. Acompanha arroz branco.","R$ 313,00"
Lagosta com arroz dos mares,"400g de lagosta grelhada, salpicadas com alho frito. Servidas sobre deliciosa mistura de arroz com nata, leite de coco, mix de pimentões, cebola e cheiro verde.","R$ 321,00"
Peixe ao molho de coco,"Filé de peixe grelhado coberto com molho de leite de coco, tomate, cebola, pimentões e cheiro verde. Acompanha arroz de cenoura e batatas ao vapor.","R$ 259,00"
Lagosta à thermidor,"Filé de lagosta, flambado no vinho branco, champignons, cebola picada, mostarda e molho bechamel. Acompanha batatas ao vapor com ervas e arroz com passas.","R$ 347,00"
Lagosta Internacional,"400g de lagosta grelhada, servidas sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela e parmesão. Acompanha batata palha.","R$ 339,00"
Tilápia pescador,"Filé de tilápia grelhado com cebolas, alcaparras e salsinha. Acompanha arroz de alho e batata soutê.","R$ 164,00"
Peixe pizzaiolo (Meio ou Inteiro),"Filé de peixe em cubos, à dorê. Servidos sobre espaguete ao alho e óleo. Coberto com molho de tomate e molho branco, numa perfeita combinação. Gratinados com queijo mussarela e orégano.","A partir de R$ 173,01"
Salmão à matias beck,"Filé de salmão fresco, grelhado com manteiga e nozes, champignon e salsinha. Acompanha arroz de brócolis e cuscuz marroquino, com brócolis, cenoura, couve-flor, alho, cebola,pimentão.","R$ 240,00"
Salmão em crosta de gergelim,"Filé de salmão grelhado com crosta de ger-gelim, molho teriyaki. Acompanha arroz branco e cuscuz marroquino, com brócolis, cenoura, couve-flor, alho, cebola, pimentão.","R$ 216,00"
Tilápia à meunière,"400g de filet de tilápia grelhado com molho especial de alcaparras, champignon e arroz com brócolis e legumes.","R$ 194,00"
Tilápia à parmegiana,Filé de tilápia empanado com molho de tomates frescos sobre espaguete. Gratinado com queijo muçarela.,"R$ 214,00"
Tilápia Coco Brasil,"Filet de Tilápia com crosta de pão de alho, pesto de rúcula e cebola caramelada picada. Acompanha purê de mandioquinha e arroz branco.","R$ 198,00"
Bacalhau à Gomes de Sá (2 pessoas),"Lombo de bacalhau em lascas assado com cebola, mix de pimentões, batatas, ovos, cebolinha, e azeitonas azapa. Acompanha arroz de brócolis e farofa de ovos.","R$ 253,00"
Tilápia a delícia (2 pessoas),"Tilápia com bananas fritas e molho branco, gratinado com queijos muçarela e parmesão. Acompanha arroz branco e batatas gratinadas.","R$ 157,00"
Frango à parmegiana ( Meio ou inteiro),Filé de frango à milanesa envoltos em molho caseiro de tomate fresco e gratinado com queijos mussarela e parmesão. Servido com espaguete no próprio molho.,"A partir de R$ 135,01"
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.","R$ 173,00"
Lasanha de berinjela,Berinjelas empanadas envolvidas em molho de tomate fresco. Finalizadas ao forno com queijos muçarela e parmesão.,"R$ 109,00"
Salada Caprese Coco Bambu,"Alface americana, rúcula, muçarela de búfala, tomate, manjericão, azeitonas pretas, torradas e molho pesto.","R$ 106,00"
Salada ceasar de frango,"Alface americana, frango grelhado fatiado, parmesão ralado,molho caesar e croutons.","R$ 84,00"
Salada gourmet,"Alface crespa, alface roxa, gorgonzola, azeitonas verdes temperadas, nozes e morangos frescos caramelizados.","R$ 82,00"
Salada Italiana,"Alface americana, alface crespa, rúcula, queijo minas frescal, tomate seco, azeitonas pretas e croutons. Temperada com ervas e molho vinagrete balsâmico.","R$ 61,00"
Salada sertão,"Alface americana, queijo coalho grelhado, tomate, azeitona verde, palmito, pimentão cebola e molho vinagrete especial.","R$ 89,00"
Salada tropical,"10 camarões grelhados, folhas verdes, manga, tomate cereja, cenoura e castanha de caju. Temperada com molho especial.","R$ 83,00"
Salada Caesar de Camarão,"Alface americana, 10 camarões refogados no azeite e ervas, parmesão ralado, molho caesar e croûtons. Servida na casquinha de pizza.","R$ 91,00"
Bobó de camarão,"Prato com consistência cremosa, feito com camarões refogados com tomate, cebola, pimentões, misturados com macaxeira cozida, azeite de dendê, cheiro-verde e leite de coco. Acompanha arroz e purê de abóbora gratinada. Tamanho do camarão nesse prato: 18g.","R$ 243,00"
Camarão aos quatro queijos,"Camarões salteados com cebola, vinho branco e molho cremoso de queijo. Acompanha arroz com passas e batata palha. Tamanho do camarão nesse prato: 18g.","R$ 263,00"
Camarão canoa quebrada,"Camarões refogados na manteiga da terra, servidos com molho caseiro de tomate fresco, champignon, alcaparras, cheiro verde, nata e coentro. Acompanha arroz branco e purê de batata. Tamanho do camarão nesse prato: 18g.","R$ 288,00"
Camarão Iracema (Meio ou Inteiro),"Arroz de leite com queijo coalho, coberto com camarões refogados com coentro, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e acompanha macaxeira frita. Tamanho do camarão nesse prato: 18g.","A partir de R$ 179,01"
Camarão ilha bela (Meio ou Inteiro),"Nossa deliciosa versão de arroz frito. Leva camarões, cebolinha, ervilha, cenoura, ovos, shoyo e óleo de gergelim torrado. Serve de 3 a 4 pessoas. tamanho do camarão nesse prato: 18g.","A partir de R$ 180,01"
Camarão Ipanema (Meio ou Inteiro),"Camarões salteados no azeite com alho, cebola, pimentão, coentro e tomate. Servidos sobre arroz regado com um toque de leite de coco e batata palha.","A partir de R$ 181,01"
Camarão jurerê,"Camarões aromatizados com ervas de provence puxados no azeite, alho e cebola. Flambados com vinho branco e misturados a molho de tomates frescos. Servidos sobre espaguete italiano com molho à base de creme de leite com um toque de limão siciliano. Tamanho do camarão nesse prato: 18g.","R$ 201,00"
Camarões à delícia,Tradicional receita cearense. Camarões servidos com molho a base de creme de leite ebananas fritas numa perfeita combinação. Gratinado com queijo parmesão. Acompanha arroz branco e batata gratinada. Tamanho do camarão nesse prato: 18g.,"R$ 288,00"
Camarões à grega (meio ou inteiro),"Arroz à grega (ervilhas, pimentões, passas, cenoura e presunto) coberto com camarões à milanesa, molho caseiro de tomate fresco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g","A partir de R$ 191,01"
Camarões ao coco,"Camarões refogados com tomate, cebola, pimentões e cheiro-verde na manteiga da terra.coberto com molho à base de coco. Gratinado com queijo coalho. Servido com purê de abóbora e arroz cremoso de castanha de caju. Tamanho do camarão nesse prato: 18g.","R$ 258,00"
Camarões Grelhados,"Camarões preparados com alho e salsinha no azeite de ervas. Acompanha arroz de brócolis e cenoura, batata, brócolis, champignon, ervilha, abobrinha.","R$ 256,00"
Camarões mucuripe,"Espaguete italiano coberto com delicioso molho de tomate fresco acrescido de tomate seco, azeitona, rúcula e camarões. Tamanho do camarão nesse prato: 18g.","R$ 272,00"
Espaguete Coco Bambu (Meio ou Inteiro),"Camarões com espaguete italiano, ervilhas, presunto e molho branco. Gratinado com farta camada de queijos muçarela e parmesão.","A partir de R$ 204,01"
Camarão Mucuripe (2 pessoas),"220g de Camarões com espaguete italiano coberto com delicioso molho de tomate frescoacrescido de tomate seco, nata, azeitona preta e rúcula.","R$ 183,00"
